Time,Line 13 TO 16 CKT 1,Line 74 TO 78 CKT 1,Line 75 TO 78 CKT 1,Line 76 TO 77 CKT 1,Line 76 TO 78 CKT 1,Transformer 136 TO 137 CKT 1,Transformer 136 TO 137 CKT 2,Transformer 138 TO 139 CKT 1,Transformer 138 TO 139 CKT 2,Transformer 141 TO 142 CKT 1,Transformer 141 TO 142 CKT 2,Transformer 143 TO 144 CKT 1,Transformer 143 TO 144 CKT 2,Transformer 145 TO 146 CKT 1,Transformer 145 TO 146 CKT 2,Transformer 147 TO 148 CKT 1,Transformer 149 TO 150 CKT 1,Transformer 149 TO 150 CKT 2
1.7,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.733333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.766667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.8,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.833333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.866667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.9,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.933333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
1.966667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.033333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.066667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.1,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.133333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.166667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.2,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.233333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.266667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.3,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.333333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.366667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.4,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.433333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.466667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.5,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.533333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.566667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.6,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.633333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.666667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.7,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.733333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.766667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.8,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.833333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.866667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.9,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.933333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
2.966667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.033333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.066667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.1,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.133333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.166667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.2,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.233333,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
3.266667,0.9312,1.0541,0.1721,0.6793,0.9045,3.6348,3.6348,3.4948,3.4948,4.1247,4.1247,3.426,3.426,3.8392,3.8392,3.368,2.3002,2.3002
